"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"RQL_tet-crusts_cd_bmv",81,-628.263517435364,-763.866465155452,137.847905574916,1444.5231209764,23.7526850578918,0.00000535585461796504
"RQL_nolimbs_cd_bmv",80,-630.178505085616,-761.728680484468,135.30483499772,1445.66951017123,24.8990742527214,0.00000301921144473106
"RQL_tet-crusts_cd_oum",82,-628.387463024931,-762.904247248001,133.684373299511,1447.46512212829,26.694686209783,0.00000123021593113444
"RQL_tet-crusts_cd_ouv",82,-628.651973720471,-763.841815722016,136.309636554236,1447.99414351937,27.2237076008619,0.000000944290914856028
"RQL_bigbulky-SE_cd_oumv",85,-625.391956936694,-760.650509826526,138.359624565596,1449.6202057866,28.8497698680924,0.000000418804053407013
"RQL_snakes-eels_cd_ouv",82,-629.654844980658,-762.072281185257,138.171169356882,1449.99988603975,29.2294501212366,0.000000346389211301495
"RQL_9cats_cd_oum",83,-629.036622987224,-761.535326850203,133.086857130646,1451.46813791944,30.6977020009272,0.000000166240758688428
"RQL_fish-crusts_cd_oum",82,-630.392570896841,-762.342498586111,133.605627449759,1451.47533787211,30.7049019536028,0.000000165643371825228
"RQL_RQLgroup1_cd_ouv",78,-636.126232081231,-762.601131622324,128.447285308968,1452.22911785896,31.458681940449,0.000000113629950623641
"RQL_RQLgroup1_cd_oum",78,-636.665583708304,-762.428169456362,128.727906176297,1453.30782111311,32.5373851945947,0.0000000662606027997086
"RQL_bigbulky_cd_oum",81,-633.079968715933,-763.448089945987,129.414639600333,1454.15602353754,33.3855876190296,0.0000000433581323070044
"RQL_FC-SE_cd_ouv",81,-633.351426638159,-762.811599314148,131.664630008822,1454.69893938199,33.928503463482,0.0000000330504889314131
"RQL_tet-fish_cd_oumv",89,-622.433767836381,-766.539756010196,144.003148166328,1454.7164422334,33.9460063148867,0.000000032762511975519
"RQL_clades_cd_oumv",83,-630.831915622516,-763.128668435849,133.244911834832,1455.05872319002,34.288287271512,0.0000000276090731456475
"RQL_FC-SW_cd_ouv",81,-633.866264886999,-759.984123475043,128.452351756467,1455.72861587967,34.9581799611631,0.0000000197508812585253
"RQL_bigbulkybugs_cd_oum",80,-635.515778130298,-763.112443744948,127.939165195859,1456.3440562606,35.5736203420852,0.0000000145192872478101
"RQL_RQLgroup2_cd_oumv",79,-636.887979168354,-761.867243818418,129.225506281216,1456.41533455503,35.6448986365206,0.0000000140109444880886
"RQL_RQLgroup2_cd_oum",77,-639.600212892692,-760.236031658001,124.2581077331,1456.52469763004,35.7542617115334,0.0000000132653747184826
"RQL_nolimbs_cd_oum",81,-634.459653012869,-761.135993776944,128.465465979088,1456.91539213141,36.1449562129033,0.0000000109114204143132
