"","np","lnLik","DiscLik","ContLik","AICc","dAICc","AICcwt"
"MA_9cats_cd_oum",83,-383.811813181232,-762.470019124015,380.125676755059,961.018518307454,28.6315030102672,0.000000243239354117132
"MA_FC-SW_cd_oum",81,-386.833405715165,-762.847811663199,376.242913667401,961.662897536005,29.2758822388189,0.000000176241698635183
"MA_shapesize_cd_oumv",83,-385.697712135345,-763.657487249516,376.863771197957,964.790316215681,32.4033009184943,0.0000000368976181728976
"MA_fish-crusts_cd_oum",82,-388.447557338204,-764.953025602998,376.817969399441,967.585310754839,35.1982954576522,0.00000000912164108313208
"MA_nolimbs_cd_oumv",87,-382.093002106564,-762.690172731423,381.50650879901,968.506796292336,36.1197809951499,0.00000000575406730692293
"MA_tet-crusts_cd_oumv",89,-379.869514772411,-762.655886166041,384.881967512292,969.587936105459,37.2009208082727,0.00000000335126221648797
"MA_bigbulky-SE_cd_oum",80,-393.513965614697,-761.763782010221,370.45775183054,972.340431229393,39.9534159322069,0.000000000846275344469065
"MA_FC-SE_cd_oumv",87,-384.76055396268,-763.797665015849,378.717036127804,973.841900004568,41.4548847073813,0.00000000039945870187887
"MA_tet-fish_cd_oumv",89,-383.258525940659,-762.203870472125,379.247293255595,976.365958441955,43.9789431447681,0.000000000113078375484381
"MA_FC-nolimbs_cd_oumv",87,-386.629775268375,-762.396003384405,376.673622631444,977.580342615957,45.1933273187708,0.0000000000616139976711689
"MA_bigbulky_cd_oum",81,-398.401122483466,-761.037468190727,365.257806584661,984.798331072607,52.4113157754207,0.00000000000166844966563956
"MA_eels-worms_cd_oumv",89,-390.246764554991,-764.179573006041,373.881856259888,990.342435670617,57.9554203734308,0.000000000000104334056306076
"MA_bigbulky-SW_cd_oumv",85,-396.612932680991,-761.51674394845,366.709904926536,992.062157275197,59.6751419780102,0.0000000000000441563625599332
"MA_RQLgroup1_cd_oum",78,-406.668705370679,-762.433244333719,358.071081170651,993.314064437856,60.9270491406697,0.0000000000000236126703613108
"MA_ingestionratio_cd_oumv",83,-402.34689941987,-763.30660634533,360.392802100169,998.08869078473,65.7016754875439,0.00000000000000216944261311558
"MA_ingestionratio_cd_oum",79,-408.138850692721,-761.045227634748,355.512819638444,998.917077603766,66.530062306579,0.00000000000000143372630785508
"MA_snakes-eels_cd_oumv",89,-396.100943818854,-761.754360070812,367.507781021449,1002.05079419834,69.6637789011569,0.000000000000000299218431382832
"MA_bigbulky_cd_oumv",87,-405.84933867122,-760.772520061743,357.111632099265,1016.01946942165,83.6324541244619,0.000000000000000000277159045736653
"MA_RQLgroup2_cd_oum",77,-424.03811992896,-762.018690818756,341.001911403039,1025.40051170258,93.0134964053939,0.00000000000000000000254484660036955
"MA_bigbulkybugs_cd_ouv",80,-422.127483018071,-761.067949199936,341.811055828151,1029.56746603614,97.1804507389559,0.000000000000000000000316824656091398
"MA_clades_cd_oumv",83,-418.350500529459,-766.269471569973,347.165283695102,1030.09589300391,97.7088777067208,0.000000000000000000000243261014739396
"MA_RQLgroup3_cd_oumv",77,-428.497125223702,-760.962679436355,335.36162526406,1034.31852229206,101.931506994878,0.0000000000000000000000294537241120912
"MA_snakes-worms_cd_oumv",89,-412.830236383671,-760.446075537726,351.342980431467,1035.50937932798,103.122364030791,0.0000000000000000000000162386116178209
